feature_set,model,test_system,train_systems,n_train,n_test,mae_normalized,rmse_normalized,r2_normalized,pct_prediction_lt_0,pct_prediction_gt_1,mae_W,rmse_W,r2_W
A_with_geography,mean_global,10,"[34, 1239, 1430]",5455,4492,0.2733177207649203,0.3070547579259517,-0.0003811869663163936,0.0,0.0,306.1158472567108,343.90132887706596,-0.00038118696631617155
A_with_geography,linear_scaled,10,"[34, 1239, 1430]",5455,4492,0.07527026757653901,0.7466147040090063,-4.914621133951545,0.3784505788067676,0.04452359750667854,84.30269968572371,836.2084684900872,-4.9146211339515435
A_with_geography,polynomial_degree_2,10,"[34, 1239, 1430]",5455,4492,0.09167711888418309,1.1549554806915614,-13.153516038716953,4.764024933214603,0.08904719501335707,102.67837315028508,1293.5501383745489,-13.153516038716953
B_without_geography,mean_global,10,"[34, 1239, 1430]",5455,4492,0.2733177207649203,0.3070547579259517,-0.0003811869663163936,0.0,0.0,306.1158472567108,343.90132887706596,-0.00038118696631617155
B_without_geography,linear_scaled,10,"[34, 1239, 1430]",5455,4492,0.0927447802285472,0.7495122065149992,-4.960617773939368,14.403383793410507,0.02226179875333927,103.87415385597288,839.4536712967991,-4.960617773939368
B_without_geography,polynomial_degree_2,10,"[34, 1239, 1430]",5455,4492,0.20475258402307137,7.634760539715366,-617.478623344805,10.307212822796082,0.0,229.32289410583994,8550.93180448121,-617.4786233448048
A_with_geography,mean_global,34,"[10, 1239, 1430]",8554,1393,0.2343028545278189,0.25723957490088284,-0.07794931622691559,0.0,0.0,34358.170587959365,37721.611263465464,-0.07794931622691581
A_with_geography,linear_scaled,34,"[10, 1239, 1430]",8554,1393,6.923737382104959,6.925598576952336,-780.3352274931945,100.0,0.0,1015296.8497118712,1015569.7753242904,-780.3352274931946
A_with_geography,polynomial_degree_2,34,"[10, 1239, 1430]",8554,1393,4.071437260008499,4.778667494874106,-370.9943987967718,49.46159368269921,45.369705671213204,597035.5598076463,700743.8014483388,-370.9943987967718
B_without_geography,mean_global,34,"[10, 1239, 1430]",8554,1393,0.2343028545278189,0.25723957490088284,-0.07794931622691559,0.0,0.0,34358.170587959365,37721.611263465464,-0.07794931622691581
B_without_geography,linear_scaled,34,"[10, 1239, 1430]",8554,1393,0.12623867150933646,0.1806065720563683,0.46863875678370215,4.3072505384063176,0.0,18511.638790129095,26484.147726345844,0.46863875678370215
B_without_geography,polynomial_degree_2,34,"[10, 1239, 1430]",8554,1393,0.1168933141452717,0.17326351827595174,0.5109682764971866,6.24551328068916,0.0,17141.23558626264,25407.36231998556,0.5109682764971865
A_with_geography,mean_global,1239,"[10, 34, 1430]",7477,2470,0.22351817504510949,0.2537416553700518,-0.01837439838054311,0.0,0.0,4506.126408909407,5115.431772260244,-0.01837439838054311
A_with_geography,linear_scaled,1239,"[10, 34, 1430]",7477,2470,20.445083464838504,20.445878571749386,-6611.0402635463815,100.0,0.0,412172.8826511442,412188.9120064677,-6611.0402635463815
A_with_geography,polynomial_degree_2,1239,"[10, 34, 1430]",7477,2470,11.900187412386732,14.661573712633873,-3399.048495417681,66.23481781376518,30.2834008097166,239907.7782337165,295577.32604669884,-3399.0484954176804
B_without_geography,mean_global,1239,"[10, 34, 1430]",7477,2470,0.22351817504510949,0.2537416553700518,-0.01837439838054311,0.0,0.0,4506.126408909407,5115.431772260244,-0.01837439838054311
B_without_geography,linear_scaled,1239,"[10, 34, 1430]",7477,2470,0.1543883730248868,0.18511752890868594,0.45797536727055366,14.412955465587043,0.0,3112.4696001817174,3731.9693827991086,0.45797536727055366
B_without_geography,polynomial_degree_2,1239,"[10, 34, 1430]",7477,2470,0.1879483152741672,0.21113055591069682,0.29493993359134796,42.51012145748988,0.0,3789.038035927211,4256.392007159648,0.29493993359134796
A_with_geography,mean_global,1430,"[10, 34, 1239]",8355,1592,0.2859811238927681,0.3294764736684206,-0.15392621215210767,0.0,0.0,206112.3156119958,237460.28410230408,-0.1539262121521079
A_with_geography,linear_scaled,1430,"[10, 34, 1239]",8355,1592,0.19684310990924445,0.24094085996269224,0.38290769258458557,7.85175879396985,0.0,141868.76617379065,173650.89659231156,0.38290769258458557
A_with_geography,polynomial_degree_2,1430,"[10, 34, 1239]",8355,1592,0.12488809249548065,0.16087447258663276,0.7248918270516613,7.097989949748744,0.0,90009.3460233428,115945.44988263797,0.7248918270516611
B_without_geography,mean_global,1430,"[10, 34, 1239]",8355,1592,0.2859811238927681,0.3294764736684206,-0.15392621215210767,0.0,0.0,206112.3156119958,237460.28410230408,-0.1539262121521079
B_without_geography,linear_scaled,1430,"[10, 34, 1239]",8355,1592,0.20106896162452628,0.24198662710860472,0.3775392768656234,7.097989949748744,0.0,144914.4220220286,174404.60188971358,0.3775392768656234
B_without_geography,polynomial_degree_2,1430,"[10, 34, 1239]",8355,1592,0.12362462632723835,0.15849811381465181,0.7329593250236918,5.527638190954774,0.0,89098.74068656722,114232.76058849585,0.7329593250236917
