test_system,feature,split,min,p01,p25,median,p75,p99,max,mean,std,test_outside_train_range_pct
10,poa_irradiance_W_m2,train,0.0,0.0735,117.7665415,362.5373665,711.02093325,1157.124965,1257.373,426.3730399190193,337.0175324087634,
10,poa_irradiance_W_m2,test,-64642.61716666666,-11.350307516666668,85.43120958333333,355.5614166666667,755.3972916666667,1117.4924400000002,1347.93,409.46869344478716,1059.1140871056482,9.283170080142474
10,ambient_temp_C,train,-22.3562495885,-18.15437425235,-8.068324062749998,0.83879975,18.912013888888886,37.17705277777778,41.86486111111111,5.189401213154076,15.56899886644635,
10,ambient_temp_C,test,-16.70545,-8.174697749999998,5.1655775,13.219610000000001,22.744745833333333,32.940334166666666,37.04346666666667,13.646554405255806,10.632659756752561,0.0
10,sin_hour,train,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.0008422643640743382,0.7334322198883406,
10,sin_hour,test,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.003743679964349844,0.7332920383537543,0.0
10,cos_hour,train,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5847375793917685,0.3468127635531264,
10,cos_hour,test,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5849788996846407,0.34672024140487545,0.0
10,sin_day_of_year,train,-0.9999907397361901,-0.9997685019798909,-0.7961828637826154,-0.2553532951161881,0.5595892624101765,0.9995462806873573,0.9999907397361901,-0.1277722952200749,0.6996942898865429,
10,sin_day_of_year,test,-0.9999907397361901,-0.9995462806873573,-0.7295575540864876,-0.060213277365792774,0.7354170229639855,0.9995462806873573,0.9999907397361901,-0.010186864437797186,0.7210653259570368,0.0
10,cos_day_of_year,train,-0.9999629591162655,-0.9996666485105112,-0.8565509959010036,-0.45973273945210397,0.0902516100310407,0.9986668162884759,1.0,-0.2816648525394018,0.6441528267504693,
10,cos_day_of_year,test,-0.9999629591162655,-0.9996666485105112,-0.6839194216246106,-0.01291029607500882,0.6648553979642866,0.9986668162884759,1.0,-0.010898374030756152,0.6928671351292949,0.0
10,dc_capacity_kW,train,20.16,20.16,20.16,146.64,720.72,720.72,720.72,256.9112667277728,302.12959549321033,
10,dc_capacity_kW,test,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,0.0,100.0
34,poa_irradiance_W_m2,train,-64642.61716666666,-3.8041994333333333,110.1158625,354.8297,709.511625,1094.7481666666658,1347.93,411.38246478983336,796.9405830170373,
34,poa_irradiance_W_m2,test,0.0,0.0,57.17775,397.51,808.887,1212.2889999999998,1257.373,463.91435743000716,399.70518189430976,0.0
34,ambient_temp_C,train,-22.3562495885,-17.558921272615,-4.821738154874998,6.464540708333333,19.58608333333333,32.2119195,37.04346666666667,7.195896425611772,13.885614071215022,
34,ambient_temp_C,test,-5.174166666666667,-0.816644444444445,11.569861111111113,18.9275,29.46472222222222,40.04349999999999,41.86486111111111,20.13984779718699,10.590308116570313,4.3072505384063176
34,sin_hour,train,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.0021498413122317183,0.7335762774931696,
34,sin_hour,test,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.00216900209695254,0.7321037152438489,0.0
34,cos_hour,train,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5845598837298391,0.3467389955307939,
34,cos_hour,test,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5866069400864741,0.34696242882233996,0.0
34,sin_day_of_year,train,-0.9999907397361901,-0.9995462806873573,-0.6680638642135333,0.008606996888688698,0.7412220108485958,0.9995462806873573,0.9999907397361901,0.025737489594110676,0.707652530745664,
34,sin_day_of_year,test,-0.9999907397361901,-0.9999166586547379,-0.9741004551724206,-0.8452490573530634,-0.4327755925504317,-0.01721335615583528,6.432490598706546e-16,-0.691253231491828,0.31746304323432695,0.0
34,cos_day_of_year,train,-0.9999629591162655,-0.9996666485105112,-0.8565509959010037,-0.4288919379124835,0.29260033563334836,0.9962981749346077,1.0,-0.2446692745660981,0.66242906409878,
34,cos_day_of_year,test,-0.6050560696488494,-0.5488429582847199,-0.13301470653419636,0.3253420847119795,0.9015016841318838,0.9998518392091162,1.0,0.36429555483834153,0.5375450843430783,0.0
34,dc_capacity_kW,train,1.12,1.12,1.12,1.12,20.16,720.72,720.72,140.54389525368248,277.5749092375908,
34,dc_capacity_kW,test,146.64,146.64,146.64,146.64,146.64,146.64,146.64,146.63999999999996,2.84319165449117e-14,0.0
1239,poa_irradiance_W_m2,train,-64642.61716666666,-3.9865652,96.73848333333332,387.25575,792.8421666666667,1155.3319999999994,1347.93,442.9070024357676,855.7775528733915,
1239,poa_irradiance_W_m2,test,0.0,5.100453333333333,117.623125,286.79837499999996,549.0154375,894.907305,1043.6095,345.58001882591094,258.634005483834,0.0
1239,ambient_temp_C,train,-16.70545,-8.447881066666666,6.1350050000000005,14.883194444444444,24.03009975,36.74061666666666,41.86486111111111,14.90313403532708,11.015928645698747,
1239,ambient_temp_C,test,-22.3562495885,-19.322563389015,-12.183197077125,-8.618709909249999,-5.230380162874999,-0.02091986957499772,2.416437578500001,-8.834909787844532,4.611117318952943,5.020242914979757
1239,sin_hour,train,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.002863603384497157,0.733178085490694,
1239,sin_hour,test,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,9.007639438659164e-17,0.7339479732102991,0.0
1239,cos_hour,train,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5850308187170956,0.3467976569238505,
1239,cos_hour,test,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5842887779019347,0.3466896984226017,0.0
1239,sin_day_of_year,train,-0.9999907397361901,-0.9997685019798909,-0.7694148268839381,-0.2135209154397959,0.6420547132365637,0.9995462806873573,0.9999907397361901,-0.08893317640006373,0.7084470830738725,
1239,sin_day_of_year,test,-0.9999907397361901,-0.9999166586547379,-0.7638886127905429,-0.051617755185161554,0.6932812268869777,0.9999166586547379,0.9999907397361901,-0.03149955689749688,0.7202749139312219,0.0
1239,cos_day_of_year,train,-0.9999629591162655,-0.9996666485105112,-0.6839194216246106,-0.030120304846908114,0.7025274741691571,0.9994074007397048,1.0,-0.010725367330018137,0.7001508945680648,
1239,cos_day_of_year,test,-0.9999629591162655,-0.9999629591162655,-0.9192859697186104,-0.6839194216246105,-0.33346877891818705,0.0902516100310407,0.10738134666416306,-0.6094104029239057,0.33028016878870065,0.0
1239,dc_capacity_kW,train,1.12,1.12,1.12,1.12,146.64,720.72,720.72,181.4480139093219,285.8196240740061,
1239,dc_capacity_kW,test,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,0.0,0.0
1430,poa_irradiance_W_m2,train,-64642.61716666666,-3.8269096333333334,95.28511666666667,340.01283333333333,691.8992083333333,1148.3129749999996,1347.93,399.6587333757012,806.8573328823784,
1430,poa_irradiance_W_m2,test,3.334083,4.996962735,174.749982875,515.693683,868.56939125,1046.2556212499999,1074.70071625,518.8753683154838,354.7418878294222,0.0
1430,ambient_temp_C,train,-22.3562495885,-17.58623223159,-4.719133979999997,7.857493333333333,20.1598,36.47222222222222,41.86486111111111,8.082932758098691,14.534639150537416,
1430,ambient_temp_C,test,-14.85309975,-10.082088515,4.6322123125,15.263624625,23.6124411875,30.813594447499995,33.41179975,13.866584681061557,11.109749151179093,0.0
1430,sin_hour,train,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.002374390223927488,0.7332021846116015,
1430,sin_hour,test,-1.0,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865476,1.0,1.0,-0.0009881483573937447,0.7342515635577918,0.0
1430,cos_hour,train,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.5850463155405916,0.34671091415316146,
1430,cos_hour,test,-1.0,-1.0,-0.8660254037844388,-0.7071067811865475,-0.25881904510252063,6.123233995736766e-17,6.123233995736766e-17,-0.583798207678304,0.34708447803715226,0.0
1430,sin_day_of_year,train,-0.9999907397361901,-0.9997685019798909,-0.8359254794186365,-0.27195815753410524,0.6084768701151261,0.9995462806873573,0.9999907397361901,-0.13003938384913452,0.7160625329493762,
1430,sin_day_of_year,test,-0.8452490573530634,-0.8359254794186365,-0.3294084822245302,0.3131070409358269,0.8359254794186372,0.9995462806873573,0.9999166586547379,0.21590564483632232,0.6119003793833936,0.0
