test_system,term,coefficient,abs_coefficient,degree
10,poa_irradiance_W_m2,0.27154237085327804,0.27154237085327804,1
10,ambient_temp_C cos_day_of_year,0.06317843462908226,0.06317843462908226,2
10,elevation sin_day_of_year,-0.03208690983360238,0.03208690983360238,2
10,latitude cos_day_of_year,0.03131990363431589,0.03131990363431589,2
10,latitude ambient_temp_C,0.028521653256627963,0.028521653256627963,2
10,elevation cos_day_of_year,0.027276038493083507,0.027276038493083507,2
10,elevation ambient_temp_C,0.02700950793960029,0.02700950793960029,2
10,longitude cos_day_of_year,0.026709216034520377,0.026709216034520377,2
10,longitude ambient_temp_C,0.024045963721285653,0.024045963721285653,2
10,elevation poa_irradiance_W_m2,0.021433095589698702,0.021433095589698702,2
10,sin_day_of_year,0.019843702604502803,0.019843702604502803,1
10,latitude poa_irradiance_W_m2,0.017935182992754595,0.017935182992754595,2
34,elevation poa_irradiance_W_m2,4.648953516666627,4.648953516666627,2
34,latitude poa_irradiance_W_m2,2.4122302913443687,2.4122302913443687,2
34,longitude poa_irradiance_W_m2,2.2655940397367105,2.2655940397367105,2
34,elevation cos_hour,1.030240994107123,1.030240994107123,2
34,elevation sin_day_of_year,0.5985722950870954,0.5985722950870954,2
34,poa_irradiance_W_m2,0.5918345844294206,0.5918345844294206,1
34,latitude cos_hour,0.516285899591891,0.516285899591891,2
34,longitude cos_hour,0.484169861597661,0.484169861597661,2
34,elevation cos_day_of_year,0.3163824221782353,0.3163824221782353,2
34,latitude sin_day_of_year,0.30329812325994104,0.30329812325994104,2
34,longitude sin_day_of_year,0.28456938924044817,0.28456938924044817,2
34,elevation sin_hour,-0.265463999248819,0.265463999248819,2
1239,elevation poa_irradiance_W_m2,4.727838940783271,4.727838940783271,2
1239,longitude poa_irradiance_W_m2,-2.499303333042752,2.499303333042752,2
1239,latitude poa_irradiance_W_m2,-2.155689850025521,2.155689850025521,2
1239,elevation cos_hour,0.8999718650515659,0.8999718650515659,2
1239,elevation sin_day_of_year,0.6719940927397883,0.6719940927397883,2
1239,poa_irradiance_W_m2,0.564727923707013,0.564727923707013,1
1239,longitude cos_hour,-0.48944553587714423,0.48944553587714423,2
1239,elevation,0.43891926480053683,0.43891926480053683,1
1239,latitude cos_hour,-0.42338597193731564,0.42338597193731564,2
1239,longitude sin_day_of_year,-0.37766435366809326,0.37766435366809326,2
1239,elevation cos_day_of_year,0.3382391733311661,0.3382391733311661,2
1239,latitude sin_day_of_year,-0.3277586429001215,0.3277586429001215,2
1430,poa_irradiance_W_m2,0.5426737221285282,0.5426737221285282,1
1430,poa_irradiance_W_m2 ambient_temp_C,-0.14912320005523458,0.14912320005523458,2
1430,poa_irradiance_W_m2 sin_hour,-0.08951291709685376,0.08951291709685376,2
1430,poa_irradiance_W_m2 sin_day_of_year,-0.08879697741195208,0.08879697741195208,2
1430,poa_irradiance_W_m2 cos_day_of_year,0.08025380268600127,0.08025380268600127,2
1430,ambient_temp_C cos_hour,-0.06906223208032662,0.06906223208032662,2
1430,ambient_temp_C cos_day_of_year,-0.06439493996178722,0.06439493996178722,2
1430,latitude ambient_temp_C,-0.053707018116716965,0.053707018116716965,2
1430,longitude ambient_temp_C,-0.051916810670310586,0.051916810670310586,2
1430,ambient_temp_C^2,-0.0427290534898635,0.0427290534898635,2
1430,latitude poa_irradiance_W_m2,0.04042982469150788,0.04042982469150788,2
1430,longitude poa_irradiance_W_m2,0.03384262772315792,0.03384262772315792,2
