measured_on,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_battery_voltage__434,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,system_id
2010-10-01 06:00:00,0.1663,-0.1539,123.01,12.436,13.48,13.126,-0.0137,76.238,-1.0428,-99999.0,8.9029,8.8273,8.9105,3.1654,10
2010-10-01 06:01:00,0.1673999999999999,-0.1759,122.92,12.543,13.479,13.118,-0.0159,102.09,-1.642,-99999.0,8.9176,8.9051,8.9772,4.6926,10
2010-10-01 06:02:00,0.1681999999999999,-0.1648999999999999,122.98,12.64,13.482,13.118,-0.0252,131.84,-3.3238,-99999.0,8.9661,8.9203,8.991799999999998,6.1642,10
2010-10-01 06:03:00,0.169,-0.2308999999999999,122.93,12.766,13.482,13.103,-0.0257,151.85,-3.9066,-99999.0,9.0508,8.9364,9.131900000000002,7.1914,10
2010-10-01 06:04:00,0.1719999999999999,-0.1539,122.92,12.89,13.483,13.097,-0.0263,162.62,-4.2698,-99999.0,9.126,9.0283,9.2619,8.690699999999998,10
2010-10-01 06:05:00,0.1794,-0.1869,122.93,13.001,13.483,13.097,-0.0263,173.42,-4.5534,-99999.0,9.2293,9.1254,9.3707,10.745,10
2010-10-01 06:06:00,0.1791,-0.2308999999999999,122.82,13.096,13.483,13.097,-0.0263,183.01,-4.8052,-99999.0,9.2286,9.1309,9.4496,12.633,10
2010-10-01 06:07:00,0.3932999999999999,-2.5068,122.8,13.174,13.484,13.089,-0.0142,177.61,-2.6888,-99999.0,9.1983,9.1456,9.4921,15.271,10
2010-10-01 06:08:00,0.5672,-2.078,122.79,13.158,13.486,13.074,0.0005999999999999,159.77,0.0873,-99999.0,9.163,9.1498,9.499,18.381,10
2010-10-01 06:09:00,0.5448,-0.8576,122.78,13.111,13.487,13.075,0.012,160.31,1.9286,-99999.0,9.1831,9.1672,9.445,20.825,10
2010-10-01 06:10:00,0.5507999999999998,0.5716999999999999,122.78,13.043,13.487,13.066,0.0238,160.56,3.819,-99999.0,9.2169,9.1594,9.3915,23.046,10
2010-10-01 06:11:00,0.5413,1.9791,122.83,12.968,13.485,13.054,0.0357999999999999,160.59,5.7524,-99999.0,9.2672,9.2555,9.5035,26.101,10
2010-10-01 06:12:00,0.5423999999999999,3.6173,122.84,12.928,13.486,13.045,0.0439999999999999,160.08,7.0498,-99999.0,9.2549,9.2667,9.503,28.738,10
