measured_on,ac_power_metered_kw__3015,ambient_temp_f__3016,module_temp_f__3019,poa_irradiance__3018,relative_humidity__3017,total_energy_kwh__3022,wind_direction__3021,wind_speed_mph__3020,system_id
2011-09-19 06:00:00,0.5799999999999998,38.236,32.68,60.213,98.812,227.82,139.343,0.0,1239
2011-09-19 06:15:00,1.72,38.671,34.12,145.995,96.719,228.06,252.99,0.0,1239
2011-09-19 06:30:00,1.6,40.332,36.03,140.061,93.894,228.48,252.428,0.55,1239
2011-09-19 06:45:00,4.6,42.316,40.21,283.526,91.869,229.3,267.548,0.5809999999999998,1239
2011-09-19 07:00:00,4.74,43.724,43.35,263.193,90.05599999999998,230.2,0.0,0.275,1239
2011-09-19 07:15:00,3.36,41.972,43.4,171.302,93.919,231.08,343.305,0.8559999999999999,1239
2011-09-19 07:30:00,4.62,43.319,45.01,234.221,96.3,232.06,31.905,0.319,1239
2011-09-19 07:45:00,6.32,45.759,46.61,313.196,90.306,233.38,313.11,0.375,1239
2011-09-19 08:00:00,7.72,48.958,49.18,359.36,81.187,235.12,274.095,1.45,1239
2011-09-19 08:15:00,9.8,50.072,52.79,465.824,83.03799999999998,237.36,246.735,0.6999999999999998,1239
2011-09-19 08:30:00,10.32,52.522,57.49,480.31,73.613,239.86,297.878,1.512,1239
2011-09-19 08:45:00,11.02,55.145,60.53,521.761,68.681,242.52,281.385,2.356,1239
2011-09-19 09:00:00,11.42,56.603,64.36,556.318,68.981,245.32,315.248,1.05,1239
2011-09-19 09:15:00,11.92,60.855,67.0,597.159,59.181,248.22,28.013,1.981,1239
2011-09-19 09:30:00,12.34,66.252,71.06,623.164,51.606,251.24,38.115,1.469,1239
2011-09-19 09:45:00,12.72,69.978,72.23,653.445,46.725,254.38,274.973,0.544,1239
2011-09-19 10:00:00,13.04,72.641,73.26999999999998,669.851,42.319,257.56,346.343,1.413,1239
2011-09-19 10:15:00,12.76,73.12699999999998,77.69,687.74,40.438,260.8,126.81,0.938,1239
2011-09-19 10:30:00,13.9,72.418,80.4,703.012,40.256,264.18,31.41,2.725,1239
2011-09-19 10:45:00,14.14,70.737,79.9,716.974,40.95,267.66,332.213,1.056,1239
2011-09-19 11:00:00,14.34,69.897,81.81999999999998,723.7809999999998,38.806,271.22,180.967,1.869,1239
2011-09-19 11:15:00,14.32,69.38,82.34,732.246,38.813,274.8,40.365,2.319,1239
2011-09-19 11:30:00,14.44,68.732,83.70999999999998,748.565,40.05,278.38,279.405,0.3439999999999999,1239
2011-09-19 11:45:00,4.2,66.92,85.69,216.244,41.981,281.24,159.525,3.95,1239
2011-09-19 12:00:00,15.32,65.391,80.84999999999998,786.089,44.813,283.64,102.937,1.075,1239
2011-09-19 12:15:00,2.58,66.809,81.62999999999998,149.05,40.944,286.76,271.035,2.313,1239
2011-09-19 12:30:00,3.56,67.771,80.23999999999998,190.85,39.775,288.72,324.72,1.219,1239
2011-09-19 12:45:00,2.84,66.434,75.25,156.293,42.431,289.9,51.188,0.925,1239
2011-09-19 13:00:00,13.56,69.866,81.72,692.365,38.013,292.92,93.038,1.944,1239
2011-09-19 13:15:00,13.18,71.092,82.11,672.382,35.306,295.38,92.115,3.044,1239
2011-09-19 13:30:00,12.24,73.07599999999998,84.18,641.402,33.288,298.54,275.737,0.7119999999999999,1239
2011-09-19 13:45:00,12.48,75.83,84.04,670.287,31.319,301.64,287.437,2.344,1239
2011-09-19 14:00:00,11.6,72.87399999999998,85.40999999999998,617.753,34.5,304.76,242.888,3.887,1239
2011-09-19 14:15:00,10.96,72.90399999999998,81.73,582.062,34.088,307.48,263.678,7.244,1239
2011-09-19 14:30:00,10.14,74.686,78.90999999999998,536.596,32.181,310.12,316.058,2.887,1239
2011-09-19 14:45:00,9.24,75.0,81.42,503.348,30.344,312.54,270.45,3.413,1239
2011-09-19 15:00:00,8.88,74.575,82.44,499.683,29.837,314.82,172.597,2.731,1239
2011-09-19 15:15:00,7.679999999999999,74.03799999999998,82.09999999999998,431.965,30.281,316.88,238.455,2.825,1239
2011-09-19 15:30:00,6.08,72.894,79.75,371.053,31.9,318.58,263.925,4.356,1239
2011-09-19 15:45:00,4.56,72.327,79.28,306.041,30.281,319.94,222.39,0.5879999999999999,1239
2011-09-19 16:00:00,2.72,70.97,75.01,219.735,35.144,320.62,181.508,3.65,1239
2011-09-19 16:15:00,0.44,69.026,71.32,45.204,37.344,321.02,137.138,2.281,1239
2011-09-19 16:30:00,0.64,65.29,66.91,97.476,45.288,321.16,129.15,1.394,1239
2011-09-19 16:45:00,0.44,67.629,66.04,95.207,40.488,321.36,185.468,0.069,1239
2011-09-19 17:00:00,-0.12,67.234,64.45,65.711,44.075,321.4,197.64,2.144,1239
2011-09-19 17:15:00,-0.2399999999999999,62.88,62.67,28.885,55.594,321.38,199.665,0.3619999999999999,1239
2011-09-19 17:30:00,-0.2999999999999999,60.551,60.12,9.774,63.125,321.36,132.84,3.069,1239
2011-09-19 17:45:00,0.0,58.648,57.72,0.698,65.075,321.32,165.285,0.019,1239
2011-09-19 18:00:00,0.0,57.251,55.33,5.149,67.856,321.32,151.785,1.125,1239
2011-09-19 18:15:00,0.0,55.56,52.73,0.262,75.525,321.32,151.335,0.0,1239
2011-09-19 18:30:00,0.0,53.595,50.46,2.182,81.369,321.32,151.448,0.4309999999999999,1239
2011-09-19 18:45:00,0.0,53.17,49.45,4.276,79.137,321.32,146.295,0.625,1239
2011-09-20 06:00:00,0.5999999999999999,44.827,43.4,81.94199999999998,97.513,321.56,31.68,1.544,1239
2011-09-20 06:15:00,1.08,44.524,43.44,92.327,97.05,321.76,72.158,2.363,1239
2011-09-20 06:30:00,2.42,46.629,46.28,166.59,92.0,322.26,171.495,4.419,1239
2011-09-20 06:45:00,2.28,46.893,47.57,158.823,92.687,323.04,165.443,3.287,1239
2011-09-20 07:00:00,4.36,47.5,48.9,233.61,92.588,324.0,203.558,4.881,1239
2011-09-20 07:15:00,3.02,47.601,49.09,170.255,93.95,325.06,186.548,5.325,1239
2011-09-20 07:30:00,3.28,47.399,49.71,173.92,93.975,325.9,173.7,5.406,1239
2011-09-20 07:45:00,3.48,47.49,49.98,185.178,92.925,326.76,134.573,5.044,1239
2011-09-20 08:00:00,2.94,47.632,51.35,162.489,92.431,327.6,132.278,1.712,1239
2011-09-20 08:15:00,2.12,48.209,50.7,130.375,91.125,328.16,179.28,2.663,1239
2011-09-20 08:30:00,4.54,48.867,52.47,248.882,88.837,329.02,138.87,3.444,1239
2011-09-20 08:45:00,3.0,49.819,53.6,168.772,87.138,330.02,122.557,3.975,1239
2011-09-20 09:00:00,4.38,50.163,55.43,239.37,86.694,330.92,164.948,2.7,1239
2011-09-20 09:15:00,5.5,51.672,57.98,289.111,83.819,332.1,32.738,1.106,1239
2011-09-20 09:30:00,5.5,53.504,61.62,299.147,79.05599999999998,333.72,169.2,4.9,1239
2011-09-20 09:45:00,5.02,53.383,60.54,270.087,81.71899999999998,335.06,133.11,1.188,1239
2011-09-20 10:00:00,6.0,54.365,61.55,313.022,78.575,336.32,177.3,3.95,1239
2011-09-20 10:15:00,4.2,53.808,61.55,226.28,82.563,337.64,159.998,5.762,1239
2011-09-20 10:30:00,5.26,53.869,59.64,274.712,84.53799999999998,338.72,108.518,4.356,1239
2011-09-20 10:45:00,6.0,54.568,60.59,308.135,85.23099999999998,340.08,162.158,3.294,1239
2011-09-20 11:00:00,6.56,56.41,62.45,341.819,80.381,341.7,148.568,2.65,1239
2011-09-20 11:15:00,8.359999999999998,57.726,64.6,427.514,77.744,343.58,157.928,2.706,1239
2011-09-20 11:30:00,5.8,58.354,65.39,318.432,76.081,345.12,178.785,3.031,1239
2011-09-20 11:45:00,5.78,58.901,66.19,309.269,75.569,346.64,81.98999999999998,2.163,1239
2011-09-20 12:00:00,3.9,59.266,65.52,229.77,75.081,347.76,144.968,2.487,1239
2011-09-20 12:15:00,4.02,58.729,65.33,235.704,75.18099999999998,348.76,136.553,3.256,1239
2011-09-20 12:30:00,6.64,60.076,65.05,350.895,76.85599999999998,350.22,104.512,2.144,1239
2011-09-20 12:45:00,3.38,60.46,64.56,187.796,73.59399999999998,351.34,149.962,1.175,1239
2011-09-20 13:00:00,3.36,60.187,64.23,193.206,69.506,352.18,207.383,2.406,1239
2011-09-20 13:15:00,3.7,60.42,64.45,204.463,67.931,353.0,183.69,6.319,1239
2011-09-20 13:30:00,2.14,59.721,63.62,126.273,72.21899999999998,353.78,255.24,3.287,1239
2011-09-20 13:45:00,1.92,58.83,63.0,119.205,74.113,354.48,177.142,2.819,1239
2011-09-20 14:00:00,1.7,59.164,62.22,109.606,72.21299999999998,354.9,226.958,1.981,1239
2011-09-20 14:15:00,2.88,58.911,62.56,167.288,74.013,355.42,190.44,3.487,1239
2011-09-20 14:30:00,2.86,59.782,63.88,172.873,72.525,356.26,161.01,2.7,1239
2011-09-20 14:45:00,3.36,60.339,65.14,193.032,69.863,357.28,213.008,3.806,1239
