measured_on,ac_power__5074,ambient_temp__5042,kwh_gross__5045,kwh_net__5046,module_temp__5043,poa_irradiance__5041,system_id
2010-01-11 06:00:00,0.0,-2.008666,0.0,0.0,-6.5046,5.014866,1430
2010-01-11 06:15:00,0.0,-0.728466,0.0,0.0,-7.327666,5.1728,1430
2010-01-11 06:30:00,0.0,-0.119533,0.0,0.0,-7.089666,5.253866,1430
2010-01-11 06:45:00,0.0,-1.3718,0.0,0.0,-6.169333,5.2794,1430
2010-01-11 07:00:00,0.0,-0.5376659999999999,0.0,0.0,-5.690066,5.289666,1430
2010-01-11 07:15:00,0.0,-1.3722,0.0,0.0,-5.9974,5.274266,1430
2010-01-11 07:30:00,0.0,-0.4148,0.0,0.0,-5.298466,5.488266,1430
2010-01-11 07:45:00,0.0,-1.4364,0.0,0.0,-5.9294,7.1716,1430
2010-01-11 08:00:00,0.0,-1.0984,0.0,0.0,-5.980866,31.438266,1430
2010-01-11 08:15:00,2.893333,-0.798,-1.0,-1.0,-4.433866,98.617533,1430
2010-01-11 08:30:00,22.546666,-0.5532,2.0,2.0,-2.527266,184.967133,1430
2010-01-11 08:45:00,44.126666,-0.001333,12.0,12.0,0.539533,277.4352,1430
2010-01-11 09:00:00,68.46,0.450266,25.0,25.0,3.499266,371.276666,1430
2010-01-11 09:15:00,95.993333,1.4716,40.0,40.0,7.396133,467.3666,1430
2010-01-11 09:30:00,121.686666,2.309,55.0,55.0,11.617933,557.902066,1430
2010-01-11 09:45:00,147.44,3.159333,70.0,70.0,16.332933,644.1548,1430
2010-01-11 10:00:00,166.746666,4.6316,84.0,84.0,21.251266,704.956133,1430
2010-01-11 10:15:00,171.086666,4.3582,95.0,95.0,21.342666,698.689866,1430
2010-01-11 10:30:00,175.893333,5.376933,95.0,95.0,23.080466,699.717266,1430
2010-01-11 10:45:00,176.733333,7.759865999999999,96.0,96.0,26.404066,687.896733,1430
2010-01-11 11:00:00,177.12,7.0524,94.0,94.0,26.8794,670.008266,1430
2010-01-11 11:15:00,176.48,7.858799999999999,95.0,95.0,26.527866,646.743733,1430
2010-01-11 11:30:00,173.886666,7.449466,92.0,92.0,24.698333,615.041133,1430
2010-01-11 11:45:00,172.686666,6.5866,90.0,90.0,19.433,585.708666,1430
2010-01-11 12:00:00,171.513333,6.3624,89.0,89.0,18.186666,561.055533,1430
2010-01-11 12:15:00,169.886666,6.109066,87.0,87.0,19.358266,543.192466,1430
2010-01-11 12:30:00,169.12,6.475133,84.0,84.0,20.107133,530.8024,1430
2010-01-11 12:45:00,170.06,6.623866,85.0,85.0,19.028266,525.090466,1430
