measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,ambient_temp_f__2688,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,module_temp_f__2689,poa_irradiance__2679,power_factor_1000__2693,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691,system_id
2010-10-01 06:00:00,3.0,0.0,285.0,77.592,1.0,5.0,306.0,0.0,43.0,75.23,6.055,0.0,27.425,287.82,2.444,34
2010-10-01 06:15:00,3.0,10.0,285.0,77.76399999999998,3.0,10.0,355.0,0.0,49.0,76.69,11.719,307.0,26.95,234.428,4.231,34
2010-10-01 06:30:00,8.0,63.0,285.0,78.26999999999998,18.0,63.0,340.0,0.0,55.0,77.36,39.453,854.0,26.013,255.128,2.15,34
2010-10-01 06:45:00,11.0,93.0,285.0,79.65699999999998,26.0,94.0,359.0,0.0,58.0,79.56,87.012,919.0,24.85,304.515,2.294,34
2010-10-01 07:00:00,8.0,60.0,285.0,80.65,16.0,59.0,359.0,0.0,58.0,81.31999999999998,73.242,848.0,24.775,283.68,1.794,34
2010-10-01 07:15:00,9.0,68.0,284.0,80.558,19.0,68.0,348.0,0.0,58.0,81.65,69.141,-864.0,25.163,257.648,1.9,34
2010-10-01 07:30:00,7.0,56.0,283.0,80.346,16.0,56.0,346.0,0.0,58.0,81.90999999999998,67.578,839.0,27.306,235.508,1.619,34
2010-10-01 07:45:00,3.0,14.0,283.0,80.295,4.0,14.0,337.0,0.0,57.0,81.78,35.449,407.0,27.963,174.308,1.694,34
2010-10-01 08:00:00,4.0,24.0,283.0,79.89,7.0,22.0,346.0,0.0,58.0,79.42,21.973,-580.0,33.144,141.367,1.631,34
2010-10-01 08:15:00,3.0,16.0,283.0,78.89799999999998,4.0,14.0,346.0,0.0,57.0,76.39,23.926,-444.0,42.019,171.202,2.744,34
2010-10-01 08:30:00,4.0,29.0,283.0,78.23999999999998,7.0,28.0,377.0,0.0,57.0,75.98999999999998,23.535,-687.0,45.037,169.088,4.05,34
2010-10-01 08:45:00,5.0,37.0,283.0,76.357,10.0,39.0,367.0,0.0,58.0,72.76,34.57,-736.0,52.619,137.093,2.763,34
2010-10-01 09:00:00,9.0,74.0,284.0,75.982,19.0,75.0,389.0,0.0,58.0,72.86,46.68,901.0,52.706,106.943,3.544,34
2010-10-01 09:15:00,22.0,195.0,284.0,75.607,51.0,201.0,391.0,0.0,59.0,72.5,108.691,986.0,54.4,182.228,3.669,34
2010-10-01 09:30:00,36.0,317.0,283.0,76.863,85.0,326.0,383.0,0.0,59.0,75.81999999999998,213.184,995.0,48.775,246.353,6.412,34
