measured_on,ac_current__2685,ac_power_hw__2695,ac_voltage__2684,dc_current__2683,dc_power_hw__2694,dc_voltage__2682,inverter_error_code__2690,inverter_temp__2686,power_factor_1000__2693,system_id,ambient_temp_f__2688,module_temp_f__2689,poa_irradiance__2679,relative_humidity__2687,wind_direction__2692,wind_speed_mph__2691
2010-08-23 11:13:27,,,,,,,160.0,,,34,,,,,,
2010-08-23 11:15:00,117.0,1004.0,285.0,328.0,1051.0,317.0,0.0,58.0,-999.0,34,,,,,,
2010-08-23 11:17:41,,,,,,,161.0,,,34,,,,,,
2010-08-23 11:18:07,,,,,,,160.0,,,34,,,,,,
2010-08-23 11:30:00,121.0,1031.0,284.0,338.0,1082.0,316.0,0.0,60.0,1000.0,34,,,,,,
2010-08-23 11:45:00,118.0,1008.0,284.0,330.0,1054.0,315.0,0.0,59.0,999.0,34,,,,,,
2010-08-23 12:00:00,119.0,1011.0,283.0,333.0,1059.0,315.0,0.0,60.0,999.0,34,,,,,,
2010-08-23 12:15:00,117.0,999.0,284.0,327.0,1047.0,316.0,0.0,60.0,-999.0,34,,,,,,
2010-08-23 12:30:00,117.0,996.0,283.0,327.0,1044.0,315.0,0.0,60.0,999.0,34,,,,,,
2010-08-23 12:45:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 13:00:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 13:15:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 13:30:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 13:45:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 14:00:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 14:15:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 14:30:05,,,,,,,139.0,,,34,,,,,,
2010-08-23 14:45:05,,,,,,,139.0,,,34,,,,,,
2010-08-23 15:00:05,,,,,,,139.0,,,34,,,,,,
2010-08-23 15:15:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 15:30:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 15:45:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 16:00:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 16:15:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 16:30:06,,,,,,,139.0,,,34,,,,,,
2010-08-23 16:45:05,,,,,,,139.0,,,34,,,,,,
