system_id,label,mae_normalized,rmse_normalized,r2_normalized,mae_W,rmse_W,prediction_lt_0_pct,prediction_gt_1_pct,prediction_gt_1_1_pct,prediction_gt_1_2_pct,threshold_W_m2,backtracking,gcr,note,tolerance_minutes
10,night_threshold_0,0.15906174136959023,0.21667882467971483,0.5018423596116173,178.149150333941,242.68028364128062,0.6455921638468388,0.0,0.0,0.0,0.0,,,,
34,night_threshold_0,0.107208984106049,0.15654035580682926,0.6008139020476343,15721.125429311023,22955.077775513444,1.2921751615218953,0.0,0.0,0.0,0.0,,,,
1239,night_threshold_0,0.1413882774005745,0.1894743087864765,0.43216180964022544,2850.387672395582,3819.8020651353663,2.307692307692308,0.0,0.0,0.0,0.0,,,,
1430,night_threshold_0,0.17658278998415292,0.24437346941335325,0.36519939837865356,127266.74839737869,176124.846875592,0.4396984924623116,0.0,0.0,0.0,0.0,,,,
10,night_threshold_10,0.1596694587851285,0.21766240744750537,0.4973094628956657,178.82979383934392,243.781896341206,0.6455921638468388,0.0,0.0,0.0,10.0,,,,
34,night_threshold_10,0.10897247002864495,0.15854933534450605,0.5905021494981135,15979.723005000495,23249.674534918366,1.2921751615218953,0.0,0.0,0.0,10.0,,,,
1239,night_threshold_10,0.13895097044958005,0.18837322864013964,0.43874231827227994,2801.2515642635335,3797.604289385215,2.2672064777327936,0.0,0.0,0.0,10.0,,,,
1430,night_threshold_10,0.17707628739766543,0.24485001801197062,0.3627211563590095,127622.42185324544,176468.30498158745,0.4396984924623116,0.0,0.0,0.0,10.0,,,,
10,night_threshold_20,0.1609441401768697,0.21895483734979984,0.4913220151600197,180.25743699809402,245.2294178317758,0.6455921638468388,0.0,0.0,0.0,20.0,,,,
34,night_threshold_20,0.10986786595773758,0.159728093546764,0.5843905717110012,16111.023864042638,23422.527637697473,1.2921751615218953,0.0,0.0,0.0,20.0,,,,
1239,night_threshold_20,0.13828810522255924,0.1879987804717081,0.44097143578126996,2787.8882012867944,3790.055414309635,2.145748987854251,0.0,0.0,0.0,20.0,,,,
1430,night_threshold_20,0.17722796558944887,0.2450155613960802,0.3618591351047128,127731.73935962761,176587.6154093829,0.4396984924623116,0.0,0.0,0.0,20.0,,,,
10,night_threshold_50,0.1645759529108659,0.2223485986713208,0.4754309701466848,184.32506726016982,249.0304305118793,0.6233303650934996,0.0,0.0,0.0,50.0,,,,
34,night_threshold_50,0.11184662317932245,0.16299258490576018,0.5672286825734324,16401.188823015844,23901.232650580674,1.148600143575018,0.0,0.0,0.0,50.0,,,,
1239,night_threshold_50,0.13663947663083112,0.18709524247069104,0.44633199998300166,2754.6518488775555,3771.8400882091314,1.7004048582995952,0.0,0.0,0.0,50.0,,,,
1430,night_threshold_50,0.17718830629134874,0.24513821644031447,0.361220067227666,127703.15611030087,176676.01535286344,0.37688442211055273,0.0,0.0,0.0,50.0,,,,
1430,tracker_parameter_sensitivity,,,,,,,,,,,True,0.2,physical feature sensitivity only; production model was not retrained,
1430,tracker_parameter_sensitivity,,,,,,,,,,,True,0.4,physical feature sensitivity only; production model was not retrained,
1430,tracker_parameter_sensitivity,,,,,,,,,,,True,0.6,physical feature sensitivity only; production model was not retrained,
1430,tracker_parameter_sensitivity,,,,,,,,,,,False,0.2,physical feature sensitivity only; production model was not retrained,
1430,tracker_parameter_sensitivity,,,,,,,,,,,False,0.4,physical feature sensitivity only; production model was not retrained,
1430,tracker_parameter_sensitivity,,,,,,,,,,,False,0.6,physical feature sensitivity only; production model was not retrained,
0,weather_tolerance,,,,,,,,,,,,,matching distribution should be recomputed before changing production,0.0
0,weather_tolerance,,,,,,,,,,,,,matching distribution should be recomputed before changing production,15.0
0,weather_tolerance,,,,,,,,,,,,,matching distribution should be recomputed before changing production,30.0
0,weather_tolerance,,,,,,,,,,,,,matching distribution should be recomputed before changing production,60.0
