model,strategy,test_system,n_train,n_test,daylight_rows_test,mae_normalized,rmse_normalized,r2_normalized,mae_W,rmse_W,pct_prediction_lt_0,pct_prediction_gt_1,daylight_mae_normalized,daylight_rmse_normalized,daylight_r2_normalized,daylight_mae_W,daylight_rmse_W
hist_gradient_boosting,24h_model,678.25,7460.25,2486.75,2079.25,0.14002038280920998,0.19633828430895028,0.5029849678744595,35304.35836082397,49670.493486553205,4.9889751490878815,0.0,0.15533521282538262,0.2107436038505321,0.4028198648483863,39081.6391407841,53185.239804860306
hist_gradient_boosting,daylight_model_night_zero,678.25,7460.25,2486.75,2079.25,0.1427550646513871,0.20244130484515865,0.470814174835786,34555.98101218033,49490.76893934776,2.9400336138273437,0.0,0.15783566744139088,0.2149313245378024,0.37836395917814303,38304.45365466666,52670.50347635265
linear,24h_model,678.25,7460.25,2486.75,2079.25,0.15401160818728996,0.19603164182855148,0.5066011763222947,41581.49177294835,51185.18048986444,12.368206603814684,0.0,0.16155274279158185,0.20463435476523054,0.43668350531117867,43663.037954823165,53266.138085145685
linear,daylight_model_night_zero,678.25,7460.25,2486.75,2079.25,0.14863335576163333,0.19580625209627858,0.5070020381603284,38281.77446683969,49335.854850472344,6.153240783751448,0.0,0.1646830557231433,0.20756058044070574,0.42074662124504314,42639.44848095129,52469.682126788655
linear_ridge,24h_model,678.25,7460.25,2486.75,2079.25,0.15295140529849008,0.19482301121988538,0.5129468351872634,40685.78798325258,50111.63676750531,12.38387974743497,0.0,0.16053719709520742,0.20345087493766867,0.44434785943245525,42753.4977593819,52170.28542185985
linear_ridge,daylight_model_night_zero,678.25,7460.25,2486.75,2079.25,0.14752368999113108,0.1944550975282566,0.5136262068565963,37385.35952462144,48202.06754422541,6.172543545335118,0.0,0.16337008299323086,0.20606646573351545,0.4298456936893361,41593.58976391948,51224.92031042076
mean_global,24h_model,678.25,7460.25,2486.75,2079.25,0.2542799685576542,0.28687811546632674,-0.06265777843147069,61320.682114030315,70160.3071167267,0.0,0.0,0.25194018207615204,0.2872386625881075,-0.10799091565844549,61955.4994283461,71495.73612834513
mean_global,daylight_model_night_zero,678.25,7460.25,2486.75,2079.25,0.22040179512797473,0.26435271477148414,0.09538808857358974,52158.827742655376,62932.7662344269,0.0,0.0,0.2513101951719412,0.2845575452463645,-0.08952221321989834,59236.202649662875,67608.56072913321
random_forest,24h_model,678.25,7460.25,2486.75,2079.25,0.14638537159739626,0.20094957835415436,0.47872168828522366,36753.0931118235,50781.07074463873,2.306695314312017,0.0,0.16273551664461577,0.21562536767030382,0.3740130433210237,40853.03299199767,54355.86817847809
random_forest,daylight_model_night_zero,678.25,7460.25,2486.75,2079.25,0.1441536359839583,0.199710013763981,0.48546466909191455,34425.76327467545,48117.96331077516,0.9616053916712551,0.0,0.16009207168558248,0.21223824180219836,0.39487245516211283,38229.31000653162,51202.342374637796
legacy_historical_poa_polynomial,legacy_24h,,,,,4.047047470943655,5.189017790196497,-945.61787960646,231763.84060947527,278390.0318790228,,,,,,,
